"","Filename","GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML","GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML","GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML","GF_S4_MC_RCG_1_neg_20210511_Run71.mzML","GF_S4_MC_RCG_2_neg_20210511_Run91.mzML","GF_S4_MC_RCG_3_neg_20210511_Run171.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","2417/621.3257mz/4.02min","1853581.1","1528722.8","2167807.5","1153410.8","1499952.5","1322455.5"
"3","2419/667.346mz/4.02min","212680.06","171454.8","194869.52","102057.63","119140.83","104356.0"
"4","2421/471.2617mz/4.02min","181898.94","170892.33","137127.52","4045.1582","18430.557","7070.4727"
"5","2422/765.4031mz/4.04min","96957.22","70725.336","113264.86","33358.125","55306.73","51219.277"
"6","2423/382.1985mz/4.04min","7727658.0","6049860.0","8194853.5","3602193.0","4802605.5","4349309.0"
"7","2424/745.3573mz/4.04min","7194900.5","6141912.0","6747823.0","5914242.5","5698247.0","5692073.0"
"8","2425/584.2931mz/4.03min","84503.25","56628.94","158266.95","271127.4","310013.7","288341.8"
"9","2427/428.186mz/4.04min","1363033.0","973108.0","1952037.5","244102.89","193370.61","138128.34"
"10","2429/329.1718mz/4.06min","672650.8","492870.25","773020.3","21681.168","44200.863","35017.082"
"11","2430/356.1826mz/4.05min","179869.88","110655.31","240713.98","0.0","4011.8486","3722.182"
"12","2431/285.1133mz/4.06min","533892.6","472009.4","652698.3","1016187.1","1013977.6","992011.1"
"13","2433/289.0389mz/4.08min","0.0","0.0","0.0","39096.957","0.0","594973.9"
"14","2434/584.311mz/4.07min","191121.48","163076.92","150156.3","584737.8","558062.9","618289.5"
"15","2435/499.2566mz/4.07min","311621.2","261977.5","300571.72","796110.75","919296.6","742952.94"
"16","2437/396.214mz/4.08min","1971380.0","1506228.5","2066352.2","645944.25","978916.5","799236.75"
"17","2441/214.145mz/4.09min","634296.75","308328.97","751591.75","261231.25","192828.58","217523.23"
"18","2442/964.5149mz/4.1min","425830.2","340923.9","404060.9","546714.44","497650.4","502233.75"
"19","2444/495.2825mz/4.11min","274386.34","218096.95","375948.25","52727.992","83604.92","54744.04"
"20","2445/656.2941mz/4.12min","346911.03","305582.38","483801.66","174016.83","260610.4","225346.11"
"21","2446/227.1291mz/4.13min","28924.922","15049.108","15070.371","136855.03","107462.94","113731.23"
"22","2448/681.3468mz/4.15min","3254456.0","2343162.2","4301857.5","2677287.5","3654404.2","3117926.0"
"23","2449/232.0074mz/4.15min","2449076.0","2279041.8","3380081.2","431190.5","511065.34","469635.6"
"24","2450/188.0176mz/4.15min","3246776.5","2942660.5","4380338.5","568694.3","667031.56","620757.06"
"25","2451/513.2722mz/4.16min","242952.73","195333.52","240945.28","172467.52","211445.11","170104.75"
"26","2452/215.1289mz/4.18min","835442.06","684140.25","1166281.1","2514264.5","2623634.0","2175252.2"
"27","2453/374.2085mz/4.19min","336342.84","270274.4","321320.9","40066.605","53774.69","38180.21"
"28","2454/242.0759mz/4.19min","0.0","0.0","0.0","94028.82","115168.555","100174.49"
"29","2457/297.1132mz/4.2min","1471068.8","1271326.6","1213587.4","1558616.0","1405800.9","1491267.9"
"30","2458/329.1717mz/4.21min","195357.16","173596.19","228785.92","0.0","0.0","0.0"
"31","2462/614.2832mz/4.22min","0.0","0.0","37181.07","111573.46","103573.75","111451.664"
"32","2463/329.0669mz/4.23min","0.0","0.0","0.0","3706887.8","3399071.5","2608487.0"
"33","2464/234.1136mz/4.23min","264444.75","225183.45","349510.88","11351.162","7182.7812","16065.427"
"34","2465/451.2926mz/4.23min","988044.25","884752.7","790346.25","328396.78","325356.0","387802.1"
"35","2466/354.2398mz/4.23min","1932429.4","1568771.8","1858786.2","623576.9","617767.94","763077.2"
"36","2467/527.2513mz/4.24min","786193.25","813958.75","485970.7","2354892.0","2186998.5","2053990.6"
"37","2468/683.3779mz/4.25min","0.0","0.0","0.0","66580.125","53702.637","71613.89"
"38","2469/268.098mz/4.27min","567332.6","541729.3","639307.6","64515.742","68925.234","63927.1"
"39","2471/374.2085mz/4.23min","230905.22","174396.84","195051.3","33665.79","55996.742","40315.406"
"40","2472/471.2613mz/4.28min","229542.27","200427.47","184967.47","8661.985","45530.47","28066.678"
"41","2473/612.3152mz/4.27min","315056.38","305727.34","385217.44","293788.7","256693.36","399899.12"
"42","2475/248.1292mz/4.24min","3511564.8","2072379.8","2982521.2","111284.445","91886.38","107259.484"
"43","2477/327.2178mz/4.31min","5754758.5","4860329.0","5517806.5","10323149.0","9319471.0","8861079.0"
"44","2478/325.2021mz/4.31min","416117.34","345823.25","379041.2","1258870.6","611004.7","700665.6"
"45","2481/201.1497mz/4.33min","35983.594","33192.047","30096.65","298484.4","296919.88","270567.75"
"46","2482/227.129mz/4.33min","529859.0","616815.0","542421.0","1042029.94","1042351.2","827313.0"
"47","2485/242.1762mz/4.36min","539223.2","513863.94","489750.66","604106.44","463462.84","366457.28"
"48","2488/398.2297mz/4.37min","596259.4","431782.0","898219.3","61896.375","115110.74","62311.223"
"49","2489/282.1136mz/4.37min","6762155.5","5812442.0","7054734.0","92429.9","114919.305","128700.72"
"50","2490/649.357mz/4.39min","1553502.0","1298226.1","1837316.4","958586.3","1089460.4","1022433.75"
"51","2491/495.2822mz/4.4min","78457.28","54860.97","91190.37","30216.066","42745.836","34991.95"
"52","2492/299.161mz/4.4min","172679.62","76577.266","187655.47","0.0","0.0","0.0"
"53","2493/718.4511mz/4.41min","490409.16","444472.97","478843.5","235047.9","214252.42","289220.66"
"54","2495/488.2403mz/4.42min","491406.47","356029.7","624224.25","224836.86","315637.44","235121.75"
"55","2496/331.2491mz/4.43min","200583.22","181113.52","208195.4","397026.44","304532.47","303509.9"
"56","2497/343.2125mz/4.43min","216214.0","196720.33","207035.0","660054.3","329946.2","355497.38"
"57","2499/229.1445mz/4.52min","3197024.5","2381615.5","5316116.0","11872314.0","12000073.0","10833345.0"
"58","2501/755.3624mz/4.45min","602057.06","499139.7","791253.5","382544.88","487315.8","431598.06"
"59","2503/325.1771mz/4.47min","938650.75","735983.1","1051086.6","16585.477","17756.152","11507.069"
"60","2505/301.202mz/4.48min","33595.086","31295.475","95064.48","272418.53","263811.7","230143.52"
"61","2506/481.2665mz/4.48min","320573.06","251163.25","340479.4","215965.78","251505.16","271242.1"
"62","2507/470.2507mz/4.48min","314877.22","202691.19","474134.7","244215.6","343083.84","292907.25"
"63","2508/184.1343mz/4.49min","1611479.5","1373366.4","1858349.5","1180716.5","1389308.4","1353622.1"
"64","2509/228.1242mz/4.49min","4185557.5","3479379.8","4831240.5","3064490.2","3503662.0","3459786.0"
"65","2510/347.1975mz/4.49min","389166.6","310057.5","314418.38","62072.18","61144.59","56946.484"
"66","2511/330.2367mz/4.5min","2413995.8","2118807.5","2481388.8","4689227.0","3953950.0","3993253.2"
"67","2512/331.2391mz/4.5min","279414.34","231390.11","285981.28","531942.8","463683.34","468354.22"
"68","2513/373.1687mz/4.48min","91330.52","53730.453","176370.53","802734.44","553344.25","434082.56"
"69","2514/307.1915mz/4.5min","1194071.2","944552.7","1060703.4","1895437.2","1600408.5","1522344.0"
"70","2515/329.2334mz/4.5min","13054260.0","11265764.0","13391695.0","23788316.0","21297038.0","21450350.0"
"71","2517/388.2241mz/4.5min","534563.44","462590.5","454841.1","138228.23","160156.4","161096.23"
"72","2522/697.3934mz/4.53min","0.0","0.0","0.0","1784083.4","1535125.1","2127057.2"
"73","2523/375.1846mz/4.57min","169377.52","108669.75","321792.6","512576.38","478293.12","1262694.4"
"74","2524/398.2296mz/4.53min","200785.03","129547.875","291234.0","36627.523","75557.984","47217.402"
"75","2526/619.2776mz/4.55min","0.0","0.0","0.0","313107.8","340289.66","355264.25"
"76","2527/328.2212mz/4.55min","946528.3","600501.9","696996.44","1345344.5","1159616.0","1139594.5"
"77","2528/262.1084mz/4.54min","997197.56","852502.3","1148885.0","428251.97","234936.42","524338.3"
"78","2529/327.2178mz/4.56min","4862372.5","3869481.8","4590341.0","7005360.5","5920353.0","5651027.0"
"79","2530/718.4511mz/4.55min","636967.3","489025.62","571047.4","300774.28","288400.9","411985.0"
"80","2531/228.1605mz/4.56min","566873.2","475015.72","551525.2","632345.2","514663.78","576655.06"
"81","2533/296.0928mz/4.58min","1185961.8","1156385.5","1085837.5","213643.89","287179.94","262640.66"
"82","2535/299.1864mz/4.58min","139109.08","98173.88","224300.78","594281.8","609706.06","533352.0"
"83","2536/495.2824mz/4.59min","123851.45","64109.797","150162.02","83491.29","88835.74","110497.69"
"84","2537/229.9645mz/4.61min","808810.1","1001924.2","708925.25","487388.38","470111.97","464427.62"
"85","2538/227.9667mz/4.61min","833320.56","1033518.8","723674.3","496743.9","478637.88","467594.1"
"86","2539/354.1096mz/4.62min","82219.414","53297.42","152503.89","350539.16","396505.6","371260.8"
"87","2540/262.1449mz/4.63min","1555197.4","1266419.6","1510827.5","1704224.0","1475310.0","1630357.0"
"88","2541/394.271mz/4.63min","777667.5","601748.7","670201.0","0.0","0.0","0.0"
"89","2544/375.1846mz/4.64min","342115.53","240087.05","522725.62","1267029.6","1115264.0","1623766.2"
